CNPJ,COMPANY_NAME,FANTASY_NAME,ADDRESS,NUMBER,COMPLEMENT,NEIGHBORHOOD,ZIP_CODE,MUNICIPALITY,STATE,FLAG,PRODUCT, UNIT_OF_MEASUREMENT,RETAIL_PRICE,DATE_OF_COLLECTION
296112000131,PHOENIX AUTO POSTO LTDA,POSTO XV,RUA XV DE NOVEMBRO,2107,0,ALTO DA XV,80050000,CURITIBA,PARANA,RAIZEN,GASOLINA ADITIVADA,R$ / litro,5.79,2023-02-07
296112000131,PHOENIX AUTO POSTO LTDA,POSTO XV,RUA XV DE NOVEMBRO,2107,0,ALTO DA XV,80050000,CURITIBA,PARANA,RAIZEN,GASOLINA COMUM,R$ / litro,5.39,2023-02-07
165412000181,POSTO CANAL BELEM LTDA,POSTO CANAL BELEM LTDA,RUA JOSE HAUER,536,,UBERABA,81580330,CURITIBA,PARANA,BRANCA,GLP,R$ / 13 kg,91.9,2023-02-07
165412000181,POSTO CANAL BELEM LTDA,POSTO CANAL BELEM LTDA,RUA JOSE HAUER,536,,UBERABA,81580330,CURITIBA,PARANA,BRANCA,ETANOL,R$ / litro,4.09,2023-02-07
165412000181,POSTO CANAL BELEM LTDA,POSTO CANAL BELEM LTDA,RUA JOSE HAUER,536,,UBERABA,81580330,CURITIBA,PARANA,BRANCA,DIESEL S10,R$ / litro,6.39,2023-02-07
165412000181,POSTO CANAL BELEM LTDA,POSTO CANAL BELEM LTDA,RUA JOSE HAUER,536,,UBERABA,81580330,CURITIBA,PARANA,BRANCA,DIESEL S500,R$ / litro,6.19,2023-02-07
165412000181,POSTO CANAL BELEM LTDA,POSTO CANAL BELEM LTDA,RUA JOSE HAUER,536,,UBERABA,81580330,CURITIBA,PARANA,BRANCA,GASOLINA ADITIVADA,R$ / litro,5.45,2023-02-07
165412000181,POSTO CANAL BELEM LTDA,POSTO CANAL BELEM LTDA,RUA JOSE HAUER,536,,UBERABA,81580330,CURITIBA,PARANA,BRANCA,GASOLINA COMUM,R$ / litro,5.35,2023-02-07
2668546000140,J.C. MARQUES & CIA LTDA,CISNE AUTO POSTO,AVENIDA SAUL ELKIND,4145,,CONJ. VIVI XAVIER,86082000,LONDRINA,PARANA,IPIRANGA,ETANOL,R$ / litro,3.99,2023-02-08
2668546000140,J.C. MARQUES & CIA LTDA,CISNE AUTO POSTO,AVENIDA SAUL ELKIND,4145,,CONJ. VIVI XAVIER,86082000,LONDRINA,PARANA,IPIRANGA,DIESEL S10,R$ / litro,6.29,2023-02-08
2668546000140,J.C. MARQUES & CIA LTDA,CISNE AUTO POSTO,AVENIDA SAUL ELKIND,4145,,CONJ. VIVI XAVIER,86082000,LONDRINA,PARANA,IPIRANGA,GASOLINA ADITIVADA,R$ / litro,5.29,2023-02-08
2668546000140,J.C. MARQUES & CIA LTDA,CISNE AUTO POSTO,AVENIDA SAUL ELKIND,4145,,CONJ. VIVI XAVIER,86082000,LONDRINA,PARANA,IPIRANGA,GASOLINA COMUM,R$ / litro,4.99,2023-02-08
1551729000119,SERV BANC COMBUSTIVEIS E LUBRIFICANTES LTDA,POSTO MEDITERRANEO,AVENIDA HARRY PROCHET,369,,PQ MEDITERRANEO,86047040,LONDRINA,PARANA,RAIZEN,ETANOL,R$ / litro,3.99,2023-02-06
1551729000119,SERV BANC COMBUSTIVEIS E LUBRIFICANTES LTDA,POSTO MEDITERRANEO,AVENIDA HARRY PROCHET,369,,PQ MEDITERRANEO,86047040,LONDRINA,PARANA,RAIZEN,GASOLINA ADITIVADA,R$ / litro,5.39,2023-02-06
1551729000119,SERV BANC COMBUSTIVEIS E LUBRIFICANTES LTDA,POSTO MEDITERRANEO,AVENIDA HARRY PROCHET,369,,PQ MEDITERRANEO,86047040,LONDRINA,PARANA,RAIZEN,GASOLINA COMUM,R$ / litro,4.99,2023-02-06
3404821000181,FULIA - COMERCIO DE COMBUSTIVEIS - EIRELI,FULIA,RUA PEDRO BOTELHO DE REZENDE,350,,JARDIM BURLE MARX,86047780,LONDRINA,PARANA,BRANCA,DIESEL S10,R$ / litro,6.79,2023-02-06
3404821000181,FULIA - COMERCIO DE COMBUSTIVEIS - EIRELI,FULIA,RUA PEDRO BOTELHO DE REZENDE,350,,JARDIM BURLE MARX,86047780,LONDRINA,PARANA,BRANCA,GASOLINA ADITIVADA,R$ / litro,5.09,2023-02-06
3404821000181,FULIA - COMERCIO DE COMBUSTIVEIS - EIRELI,FULIA,RUA PEDRO BOTELHO DE REZENDE,350,,JARDIM BURLE MARX,86047780,LONDRINA,PARANA,BRANCA,GASOLINA COMUM,R$ / litro,4.99,2023-02-06
3404821000181,FULIA - COMERCIO DE COMBUSTIVEIS - EIRELI,FULIA,RUA PEDRO BOTELHO DE REZENDE,350,,JARDIM BURLE MARX,86047780,LONDRINA,PARANA,BRANCA,ETANOL,R$ / litro,3.99,2023-02-06
7156498000125,POSTO PRUDEN-CENTER LTDA,,AVENIDA BRASILIA,1855,,JARDIM SHANGRI-LA,86070020,LONDRINA,PARANA,BRANCA,ETANOL,R$ / litro,3.89,2023-02-07
7156498000125,POSTO PRUDEN-CENTER LTDA,,AVENIDA BRASILIA,1855,,JARDIM SHANGRI-LA,86070020,LONDRINA,PARANA,BRANCA,DIESEL S10,R$ / litro,6.19,2023-02-07
7156498000125,POSTO PRUDEN-CENTER LTDA,,AVENIDA BRASILIA,1855,,JARDIM SHANGRI-LA,86070020,LONDRINA,PARANA,BRANCA,DIESEL S500,R$ / litro,6.14,2023-02-07
